"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-04-29","63",",,U","83","H,,U","54","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-04-30","62",",,U","80","H,,U","51","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-01","61",",,U","77","H,,U","53","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-02","61",",,U","74","H,,U","52","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-03","60",",,U","76","H,,U","48","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-04","58",",,U","70","H,,U","47","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-05","64",",,U","76","H,,U","52","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-06","73",",,U","87","H,,U","60","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-07","81",",,U","98","H,,U","65","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-08","84",",,U","100","H,,U","70","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-09","76",",,U","96","H,,U","61","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-10","73",",,U","90","H,,U","56","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-11","64",",,U","81","H,,U","47","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-12","61",",,U","80","H,,U","47","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-13","62",",,U","78","H,,U","48","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-14","61",",,U","78","H,,U","48","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-15","59",",,U","79","H,,U","49","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-16","59",",,U","75","H,,U","51","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-17","60",",,U","78","H,,U","51","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-18","61",",,U","77","H,,U","51","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-05-19","62",",,U","82","H,,U","51","H,,U"
